 ,Area,Mean,Min,Max
319,138,255,255,255
320,77,255,255,255
321,63,255,255,255
322,67,255,255,255
323,52,255,255,255
324,71,255,255,255
325,108,255,255,255
326,90,255,255,255
327,219,255,255,255
328,50,255,255,255
329,67,255,255,255
330,111,255,255,255
331,239,255,255,255
332,51,255,255,255
333,110,255,255,255
334,59,255,255,255
335,176,255,255,255
336,97,255,255,255
337,73,255,255,255
338,50,255,255,255
339,87,255,255,255
340,69,255,255,255
341,154,255,255,255
342,54,255,255,255
343,57,255,255,255
344,131,255,255,255
345,69,255,255,255
346,62,255,255,255
347,67,255,255,255
348,59,255,255,255
349,90,255,255,255
350,90,255,255,255
351,53,255,255,255
352,83,255,255,255
353,86,255,255,255
354,254,255,255,255
355,58,255,255,255
356,173,255,255,255
357,62,255,255,255
358,64,255,255,255
359,51,255,255,255
360,65,255,255,255
361,125,255,255,255
362,78,255,255,255
363,99,255,255,255
364,61,255,255,255
365,87,255,255,255
366,66,255,255,255
367,99,255,255,255
368,92,255,255,255
369,83,255,255,255
370,64,255,255,255
371,71,255,255,255
372,265,255,255,255
373,54,255,255,255
374,50,255,255,255
375,80,255,255,255
376,524,255,255,255
377,96,255,255,255
378,172,255,255,255
379,75,255,255,255
380,239,255,255,255
381,78,255,255,255
382,97,255,255,255
383,64,255,255,255
384,79,255,255,255
385,189,255,255,255
386,56,255,255,255
387,62,255,255,255
388,54,255,255,255
389,52,255,255,255
390,142,255,255,255
391,104,255,255,255
392,154,255,255,255
393,99,255,255,255
394,88,255,255,255
395,63,255,255,255
396,77,255,255,255
397,69,255,255,255
398,72,255,255,255
399,138,255,255,255
400,56,255,255,255
401,147,255,255,255
402,109,255,255,255
403,82,255,255,255
404,380,255,255,255
405,59,255,255,255
406,135,255,255,255
407,53,255,255,255
408,111,255,255,255
409,69,255,255,255
410,102,255,255,255
411,81,255,255,255
412,54,255,255,255
413,50,255,255,255
414,130,255,255,255
415,131,255,255,255
416,133,255,255,255
417,55,255,255,255
418,50,255,255,255
419,191,255,255,255
420,51,255,255,255
421,146,255,255,255
422,68,255,255,255
423,59,255,255,255
424,63,255,255,255
425,115,255,255,255
426,51,255,255,255
427,77,255,255,255
428,96,255,255,255
429,51,255,255,255
430,61,255,255,255
431,56,255,255,255
432,162,255,255,255
433,244,255,255,255
434,71,255,255,255
435,509,255,255,255
436,62,255,255,255
437,302,255,255,255
438,54,255,255,255
439,51,255,255,255
440,117,255,255,255
441,113,255,255,255
442,118,255,255,255
443,116,255,255,255
444,63,255,255,255
445,59,255,255,255
446,79,255,255,255
447,60,255,255,255
448,162,255,255,255
449,91,255,255,255
450,50,255,255,255
451,101,255,255,255
452,65,255,255,255
453,161,255,255,255
454,132,255,255,255
455,116,255,255,255
456,232,255,255,255
457,60,255,255,255
458,51,255,255,255
459,691,255,255,255
460,107,255,255,255
461,66,255,255,255
462,60,255,255,255
463,183,255,255,255
464,56,255,255,255
465,134,255,255,255
466,86,255,255,255
467,61,255,255,255
468,72,255,255,255
469,63,255,255,255
470,82,255,255,255
471,58,255,255,255
472,86,255,255,255
473,79,255,255,255
474,86,255,255,255
475,75,255,255,255
476,271,255,255,255
477,275,255,255,255
478,131,255,255,255
479,73,255,255,255
480,52,255,255,255
481,58,255,255,255
482,111,255,255,255
483,65,255,255,255
484,53,255,255,255
485,132,255,255,255
486,130,255,255,255
487,60,255,255,255
488,93,255,255,255
489,51,255,255,255
490,84,255,255,255
491,86,255,255,255
492,58,255,255,255
493,152,255,255,255
494,55,255,255,255
495,78,255,255,255
496,110,255,255,255
497,60,255,255,255
498,52,255,255,255
499,104,255,255,255
500,61,255,255,255
501,82,255,255,255
502,57,255,255,255
503,120,255,255,255
504,115,255,255,255
505,74,255,255,255
506,53,255,255,255
507,62,255,255,255
508,79,255,255,255
509,50,255,255,255
510,62,255,255,255
511,78,255,255,255
512,62,255,255,255
513,176,255,255,255
514,110,255,255,255
515,57,255,255,255
516,69,255,255,255
517,110,255,255,255
518,59,255,255,255
519,51,255,255,255
520,174,255,255,255
521,823,255,255,255
522,128,255,255,255
523,56,255,255,255
524,57,255,255,255
525,78,255,255,255
526,217,255,255,255
527,65,255,255,255
528,54,255,255,255
529,51,255,255,255
530,97,255,255,255
531,128,255,255,255
532,61,255,255,255
533,139,255,255,255
534,206,255,255,255
535,58,255,255,255
536,55,255,255,255
537,210,255,255,255
538,69,255,255,255
539,73,255,255,255
540,51,255,255,255
541,101,255,255,255
542,64,255,255,255
543,88,255,255,255
544,60,255,255,255
545,128,255,255,255
546,60,255,255,255
547,53,255,255,255
548,68,255,255,255
549,93,255,255,255
550,88,255,255,255
551,86,255,255,255
552,55,255,255,255
553,155,255,255,255
554,96,255,255,255
555,62,255,255,255
556,76,255,255,255
557,98,255,255,255
558,50,255,255,255
559,108,255,255,255
560,180,255,255,255
561,376,255,255,255
562,85,255,255,255
563,66,255,255,255
564,51,255,255,255
